編號,案類,發生(現)日期,發生時段,發生(現)地點
717,自行車竊盜,1051130,13~15,台北市中正區南門里愛國西路與博愛路口
718,自行車竊盜,1051203,19~21,台北市松山區三民路74巷1 ~ 30號
719,自行車竊盜,1051205,04~06,台北市大安區學府里公館捷運站1 ~ 30號出口
720,自行車竊盜,1051207,13~15,台北市松山區民生東路5段1 ~ 30號
721,自行車竊盜,1051209,07~09,台北市松山區民生東路5段151 ~ 180號
722,自行車竊盜,1051209,10~12,台北市中山區松江路151 ~ 180號
723,自行車竊盜,1051209,10~12,台北市中山區中山北路3段31 ~ 60號
724,自行車竊盜,1051209,13~15,台北市萬華區西園路1段241 ~ 270號
725,自行車竊盜,1051212,13~15,台北市信義區永吉路187巷1 ~ 30號
726,自行車竊盜,1051214,22~24,台北市大安區錦華里和平東路1段55巷
727,自行車竊盜,1051215,07~09,台北市信義區四育里虎林街1 ~ 30號
728,自行車竊盜,1051215,19~21,台北市大安區仁慈里仁愛路4段1 ~ 30號
729,自行車竊盜,1051216,19~21,台北市信義區安康里松德路168巷1 ~ 30號
730,自行車竊盜,1051218,13~15,台北市信義區雙和里吳興街260巷底台北醫學院口腔醫療大樓側門人行道上
731,自行車竊盜,1051219,10~12,台北市大同區建明里長安西路78巷1弄1 ~ 30號
732,自行車竊盜,1051220,13~15,台北市信義區中興里信義路4段361 ~ 390號
733,自行車竊盜,1051221,16~18,台北市松山區延壽街391 ~ 420號
734,自行車竊盜,1051223,22~24,台北市信義區長春里松山路336巷1 ~ 30號
735,自行車竊盜,1051224,07~09,台北市信義區象山捷運站1 ~ 30號出口
736,自行車竊盜,1051224,10~12,台北市松山區光復北路181 ~ 210號
737,自行車竊盜,1051224,22~24,台北市松山區健康路325巷18弄31 ~ 60號
738,自行車竊盜,1051224,22~24,台北市松山區延壽街91 ~ 120號
739,自行車竊盜,1051225,01~03,台北市文山區木新里025鄰永安街48巷1 ~ 30號
740,自行車竊盜,1051225,01~03,台北市大安區黎和里和平東路3段391 ~ 420號
741,自行車竊盜,1051225,07~09,台北市萬華區桂林路121 ~ 150號
742,自行車竊盜,1051226,01~03,台北市南港區中南里中南街151 ~ 180號
743,自行車竊盜,1051226,04~06,台北市文山區景慶里景福街\弄151 ~ 180號
744,自行車竊盜,1051229,10~12,台北市大同區隆和里大橋頭捷運站1 ~ 30號出口
745,自行車竊盜,1051230,13~15,台北市文山區景美里羅斯福路6段271 ~ 300號
746,自行車竊盜,1051230,13~15,台北市文山區景美里羅斯福路6段271 ~ 300號
747,自行車竊盜,1060101,10~12,台北市信義區六合里松仁路240巷1 ~ 30號
748,自行車竊盜,1060103,16~18,台北市中山區圓山捷運站1 ~ 30號出口
749,自行車竊盜,1060105,19~21,台北市內湖區東湖國中(內湖區康樂街151巷內)旁人行
750,自行車竊盜,1060106,16~18,台北市文山區木柵里029鄰木柵路3段91 ~ 120號
751,自行車竊盜,1060107,04~06,台北市大安區龍泉里和平東路1段181 ~ 210號
752,自行車竊盜,1060107,22~24,台北市中山區天祥路60巷1 ~ 30號
753,自行車竊盜,1060108,01~03,台北市中山區玉門街1 ~ 30號
754,自行車竊盜,1060108,10~12,台北市北投區福興里自強街61 ~ 90號
755,自行車竊盜,1060108,16~18,台北市中正區徐州路
